demostrar	to show, demonstrate	verb			yo demuestro, tú demuestras, él/ella/usted demuestra, nosotros/as demostramos, vosotros/as demostráis, ellos/ellas/ustedes demuestran	Ella demostró su habilidad en la clase.	She demonstrated her skill in class.
significar	to mean	verb			significa, significas, significa, significamos, significáis, significan	El significado de la palabra es importante.	The meaning of the word is important.
posición	position	noun	feminine	posiciones		La posición de la empresa es muy fuerte.	The position of the company is very strong.
motivo	motive, cause	noun	masculine	motivos		El motivo de la discusión fue el aumento de salario.	The reason for the discussion was the salary increase.
prueba	proof, trial, test	noun	feminine	pruebas		La prueba fue muy difícil.	The test was very difficult.
política	politics, policy	noun	feminine	politicas		La política es un tema importante.	Politics is an important topic.
nacional	national	adjective				El equipo nacional ganó el campeonato.	The national team won the championship.
lleno	full, filled	adjective	masculine	llenos		El cuarto está lleno.	The room is full.
reunir	to gather, meet, collect	verb			reuniré, reunirás, reunirá, reuniremos, reuniréis, reunirán	Vamos a reunir a todos los miembros de la familia.	We are going to gather all the family members.
faltar	to be lacking	verb			faltar-yo faltó, tú faltaste, él/ella faltó, nosotros/as faltamos, vosotros/as faltasteis, ellos/ellas faltaron	No faltes a la cita.	Don't miss the appointment.
supuesto	supposed; por supuesto: of course	adjective				El supuesto es que todos somos iguales.	The supposed thing is that we are all equal.
acompañar	to accompany	verb			acompaño, acompañas, acompaña, acompañamos, acompañáis, acompañan	Mi hermana me acompaña al cine.	My sister accompanies me to the movies.
dato	data, fact	noun	masculine	datos		Los datos son importantes para el análisis.	The data is important for the analysis.
fácil	easy	adjective				Es fácil de entender.	It is easy to understand.
desear	to want, desire, wish for	verb			deseo, deseas, desea, deseamos, deseáis, desean	Me deseo una buena noche de sueño.	I wish myself a good night's sleep.
adelante	forward, further	adverb				Vamos adelante.	Let's go forward.
empresa	firm, company, venture	noun	feminine	empresas		La empresa ofrece un servicio excelente.	The company offers an excellent service.
asunto	matter, issue, affair	noun	masculine	asuntos		El asunto es importante.	The matter is important.
presencia	presence, appearance	noun	femenino	presencias		La presencia de la reina fue muy celebrada.	The presence of the queen was very celebrated.
suyo	his, hers, yours (-fam), theirs	adjective				Ella es dueña de suyo.	She is the owner of her own.
cultura	culture	noun	feminine	culturas		La cultura es una parte importante de la vida.	Culture is an important part of life.
serie	series	noun	feminine	series		La serie de televisión es muy entretenida.	The TV series is very entertaining.
millón	million, fortune	noun	masculine	millones		El millón de personas que viven en la ciudad son muy diversas.	The million people living in the city are very diverse.
enseñar	to teach, show	verb			yo enseño, tú enseñas, él/ella/usted enseña, nosotros/as enseñamos, vosotros/as enseñáis, ellos/ellas/ustedes enseñan	Los profesores enseñan a sus alumnos.	The teachers teach their students.
construir	to construct, build	verb			construyo, construyes, construye, construimos, construís, construyen	Vamos a construir una casa.	We are going to build a house.
vender	to sell	verb			vendo, vendes, vende, vendemos, vendéis, venden	Voy a vender mi coche.	I'm going to sell my car.
representar	to represent	verb			represento, representas, representa, representamos, representáis, representan	Los actores representan la obra de teatro.	The actors perform the play.
desaparecer	to disappear, vanish	verb			desaparezco, desapareces, desaparece, desaparecemos, desaparecéis, desaparecen	Todos desaparecen cuando llega la noche.	Everyone disappears when night comes.
mandar	to send, order	verb			mando, mandas, manda, mandamos, mandáis, mandan	Él manda un mensaje a su amigo.	He sends a message to his friend.
carácter	personality, nature	noun	masculine	caracteres		El carácter de la persona es importante.	The character of the person is important.
mayoría	majority	adjective				La mayoría de los estudiantes están contentos.	The majority of the students are happy.
escuela	school	noun	feminine	escuelas		La escuela está cerca de mi casa.	The school is close to my house.
rojo	red	adjective				El coche es rojo.	The car is red.
tras	after, behind	preposition				Tras la tormenta, el sol brilló.	After the storm, the sun shone.
superior	superior, upper	adjective				El profesor es superior a los demás.	The professor is superior to the others.
andar	to walk, function	verb			él anda, tú andas, él/ella/usted anda, nosotros/as andamos, vosotros/as andáis, ellos/ellas/ustedes andan	Él anda por el parque.	He walks through the park.
corto	short, brief	adjective	masculine	cortos		El vestido es corto.	The dress is short.
autor	writer, author	noun	masculine	autores		El autor escribe un libro.	The author writes a book.
hermano	brother, [pl] siblings	noun	masculine	hermanos		Mi hermano es muy simpático.	My brother is very nice.
conocido	known, well-known	adjective				Mi conocido es muy simpático.	My acquaintance is very friendly.
preferir	to prefer	verb			prefiero, prefieres, prefiere, preferimos, preferís, prefieren	Prefiero salir a caminar.	I prefer to go for a walk.
asegurar	to assure, secure, insure	verb			yo aseguro, tú aseguras, él/ella/usted asegura, nosotros/as aseguramos, vosotros/as aseguráis, ellos/ellas/ustedes aseguran	Aseguraré que todo esté listo para la fiesta.	I will make sure that everything is ready for the party.
función	function, meeting	noun	femenino	funciones		La función es importante para el desarrollo de la empresa.	The function is important for the development of the company.
arriba	up above	adverb				Vamos arriba.	Let's go up.
serio	serious	adjective				Él es muy serio.	He is very serious.
causa	cause	noun	femine	causas		La causa de la discusión fue el dinero.	The cause of the discussion was money.
suficiente	sufficient, enough	adjective				Tengo suficiente para comprarlo.	I have enough to buy it.
grave	serious, solemn	adjective				La situación es grave.	The situation is serious.
decisión	decision	noun	feminine	decisiones		Tomó una decisión importante.	He took an important decision.
música	music	noun	feminine	músicas		Escucho música todos los días.	I listen to music every day.
extraño	strange, foreign	adjective				Mi hermano es muy extraño.	My brother is very strange.
crecer	to grow, increase	verb			crezco, creces, crece, crecemos, crecéis, crecen	Los árboles crecen rápidamente.	The trees grow quickly.
surgir	to appear, spring (forth)	verb			surgir-o, surgir-es, surgir-e, surgir-imos, surgir-ís, surgir-en	El sol siempre surge a las seis de la mañana.	The sun always rises at six in the morning.
tú	you (subj-sg/+fam)	pronoun			tú, te, ti	Tú eres mi mejor amigo.	You are my best friend.
expresión	expression	noun	feminine	expresiones		La expresión de mi abuela era siempre muy amable.	My grandmother's expression was always very kind.
alrededor	about, around, round	adverb				Vamos a caminar alrededor del lago.	We are going to walk around the lake.
matar	to kill	verb			matar, mata, mata, matamos, matáis, matan	El ladrón mató al policía.	The thief killed the policeman.
entregar	to deliver	verb			entrego, entregas, entrega, entregamos, entregáis, entregan	Yo entrego el regalo a mi amigo.	I give the gift to my friend.
río	river	noun	masculine	rios		El río es muy hermoso.	The river is very beautiful.
seguridad	security, safety	noun	feminine	seguridades		La seguridad es importante para todos.	Security is important for everyone.
término	term (language), end	noun	masculine	términos		Los términos del contrato son muy importantes.	The terms of the contract are very important.
colocar	to place, position	verb			colocaré, colocarás, colocará, colocaremos, colocaréis, colocarán	Colocaré una foto en la pared.	I will place a photo on the wall.
metro	meter, subway	noun	masculine	metros		El metro es un medio de transporte.	The metro is a means of transportation.
médico	doctor	noun	masculine	médicos		El médico recomienda una dieta saludable.	The doctor recommends a healthy diet.
establecer	to establish	verb			establezco, estableces, establece, establecemos, establecéis, establecen	El gobierno estableció una nueva ley.	The government established a new law.
guardar	to keep, save	verb			guardo, guardas, guarda, guardamos, guardáis, guardan	Yo guardo mis cosas en una caja.	I keep my things in a box.
arte	art, skill	noun	masculine	artes		El arte es una forma de expresión.	Art is a form of expression.
iniciar	to initiate, start	verb			empiezo, empiezas, empieza, empezamos, empezáis, empiezan	Iniciamos la clase con una oración.	We started the class with a sentence.
bajar	to come down, let down	verb			yo bajo, tú bajas, él/ella baja, nosotros/as bajamos, vosotros/as bajáis, ellos/ellas bajan	Bajamos a la playa.	We go down to the beach.
consecuencia	consequence	noun	feminine	consecuencias		La consecuencia de su decisión fue una gran decepción.	The consequence of his decision was a great disappointment.
notar	to notice	verb			noto, notas, nota, notamos, notáis, notan	Yo noto la diferencia.	I notice the difference.
acto	act, action	noun	masculine	actos		El acto fue muy divertido.	The act was very fun.
meter	to put (into)	verb			meto, metes, mete, metemos, metéis, meten	Meteré mi chaqueta en la maleta.	I will put my jacket in the suitcase.
absoluto	absolute	adjective				El resultado fue absoluto.	The result was absolute.
pena	trouble; valer la pena: be of worth	noun	feminine	penas		Tengo muchas penas.	I have a lot of sorrows.
actuar	to act	verb			actúo, actúas, actúa, actuamos, actuáis, actúan	Los actores están actuando en la obra de teatro.	The actors are performing in the play.
altura	height, altitude	noun	feminine	alturas		La altura de la montaña es impresionante.	The height of the mountain is impressive.
deseo	desire, wish	verb			deseo, deseas, desea, deseamos, deseáis, desean	Yo deseo una vida feliz.	I wish for a happy life.
precisamente	precisely	adverb				Precisamente, llegué a tiempo.	I arrived precisely on time.
