presente	present
definitivo	definitive, conclusive
revista	magazine, journal
esperanza	hope
máquina	machine
contemplar	to contemplate
recorrer	to travel, cover (distance)
frase	phrase
perfecto	perfect
sala	room, hall
durar	to last
instrumento	instrument
aquello pron	over there (n)
defensa	defense, plea
director	director, manager, principal
retirar	to take away, retire
explicación	explanation
artículo	article, product, item
debajo	underneath, below
permanecer	to stay, remain
asistir	to attend
doce	twelve
radio	radio; set (m), communication (f)
organizar	to organize
película	movie, film
elección	election, choice
visita	visit, visitor, guest
contener	to contain
apoyo	support, backing
presidente	president
arma	weapon
árbol	tree
visitar	to visit
informar	to inform
encuentro	meeting, game, skirmish
parecido	similar
corriente	current, flow
lectura	reading
existencia	existence, life
lenguaje	language, speech
enviar	to send
aun	even (though), still
destino	destination, destiny
educación	education
cuidar	to take care of
intervenir	to intervene
operación	operation
raro	strange, rare, scarce
perfectamente	perfectly
extender	to extend, spread
comprobar	to verify, prove
nota	note, grade
particular	particular, peculiar
ése	that one (m), [ésa (f)]
militar	military
dormir	to sleep
unido	united
discutir	to argue, discuss
extraordinario	extraordinary, exceptional
teatro	theater, drama
enfrentar	to confront, face
recién	recently, just
negocio	business, transaction
letra	letter, handwriting, lyrics
peor	worse
sentimiento	feeling, sentiment
conducir	to lead, drive
completamente	completely
firmar	to sign
solución	solution, answer
mío	mine
comida	food, meal
impresión	impression, printing
plano	plane, map, level
intención	intention
ritmo	rhythm
verde	green
exacto	exact, faithful, true
respetar	to respect
banco	(financial) bank, bench
inmediatamente	immediately
sostener	to support, hold up
piel	skin, hide, fur
delante	(in) front (of), ahead
religioso	religious
advertir	to notice, warn
oscuro	dark, obscure
control	control
investigación	investigation
transformar	to transform, change
conversación	conversation
verano	summer
respeto	respect, regard
norte	north
mediante	by means of
cuarto	fourth
tradición	tradition
bastar	to be sufficient
población	population
pareja	couple, pair
