el	the
la	the
de	of, from
que	that, which
y	and
a	to, at
en	in, on
un	a, an
ser	to be (norm)
se	[reflexive marker]
no	no
haber	to have (+Ved)
por	by, for, through
con	with
su	his/her/their/your (-fam)
para	for, to, in order to
como	like, as
estar	to be (location, change from norm)
tener	to have
le	[3rd person] (indirect obj)
lo	the (+ neuter)
lo	[3rd person] (direct obj-m)
todo	all, every
pero	but, yet, except
más	more
hacer	to do, make
o	or
poder	to be able to; can
decir	to tell, say
este	this (m) [esta (f)]
ir	to go
otro	other, another
ese	that (m) [esa (f)]
la	[3rd person] (direct obj-f)
si	if, whether
me	me (obj)
ya	already, still
ver	to see
porque	because
dar	to give
cuándo	when
él	he, [ellos] them (m)
muy	very, really
sin	without
vez	time (specific occurrence)
mucho	much, many, a lot (adv)
saber	to know (a fact), find out
qué	what?, which?, how (+ adj)!
sobre	on top of, over, about
mi	my
alguno	some, someone (pron)
mismo	same
yo	I (subj)
también	also
hasta	until, up to, even (adv)
año	year
dos	two
querer	to want, love
entre	between, among
así	like that
primero	first
desde	from, since
grande	large, great, big
eso	that (n)
ni	not even, neither, nor
nos	us (obj)
llegar	to arrive
pasar	to pass, spend (time)
tiempo	time (general), weather
ella	she, [ellas] them (f)
sí	yes
día	day
uno	one
bien	well
poco	little, few, a little bit (adv)
deber	should, ought to; to owe
entonces	so, then
poner	to put (on), get (+adj)
cosa	thing
tanto	so much, so many
hombre	man, mankind, husband
parecer	to seem, look like
nuestro	our
tan	such, as, too, so
dónde	where
ahora	now
parte	part, portion
después	after
vida	life
quedar	to remain, stay
siempre	always, forever
creer	to believe, think
hablar	to speak, talk
llevar	to take, carry
dejar	to let, leave
nada	nothing, (not) at all
cada	each, every
seguir	to follow, keep on
menos	less, fewer
nuevo	new
encontrar	to find
