mal	badly
orden	order; sequence (m), religious (f)
don	courtesy title (m), Mr., gift
semana	week
suponer	to suppose, assume
comprender	to understand
final	al final: finally, in the end
interés	interest
siguiente	following, next
vista	view, sight
lograr	to achieve, get, manage
demás	the rest, others
acuerdo	accord; de acuerdo: in agreement
difícil	difficult, hard
número	number
explicar	to explain
negro	black
fondo	bottom, end
camino	road, route, path
voz	voice
estudio	study, learning
necesario	necessary
preguntar	to ask (a question)
allá	there, over there
tocar	to touch, play (instrument)
valor	value, worth
reconocer	to recognize, admit
estudiar	to study
alcanzar	to reach, catch up with
nacer	to be born
dirigir	to direct, manage
correr	to run
medida	measure; a medida que: to the extent
menor	younger, youngest
demasiado	too much, too many
solamente	only
bueno	well...
utilizar	to use, utilize
centro	center, middle, downtown
necesidad	necessity, need
condición	condition
pagar	to pay
ello	it (subj-n)
falta	lack, shortage
ayudar	to help
diez	ten
través	a través: across, over, through
antiguo	old, ancient, former
tu	your (sg/+fam)
edad	age
estado	state, condition, status
ser	being
gustar	to be pleasing to
puerta	door
jugar	to play (sport/game)
cara	face, expression
mí	me (obj prep)
época	time, age, period
color	color
escuchar	to listen to
experiencia	experience
movimiento	movement
cumplir	to fulfill
especial	special
diferente	different, separate
pesar	sorrow; a pesar de: in spite of
posibilidad	possibility
ofrecer	to offer, present
descubrir	to discover
anterior	previous, preceding
juego	game, play, sport
levantar	to raise, lift
pobre	poor
aire	air, wind, appearance
seis	six
intentar	to try, attempt
guerra	war, warfare
junto	together with, next to
resultado	result, outcome
usar	to use
decidir	to decide
repetir	to repeat
olvidar	to forget
ley	law, bill, rule
aspecto	aspect, appearance
pie	foot, base
valer	to be worth, cost
especie	kind, sort, species
comer	to eat
servicio	service, helpfulness
cerca	close, near
mostrar	to show
actividad	activity, action
tercero	third
cuál	which?
pronto	soon, quick
ocupar	to occupy, use
cuestión	question, matter
duda	doubt
diferencia	difference
